250   4.1640e+03
260   3.5210e+03
270   2.9930e+03
280   2.5560e+03
290   2.1920e+03
300   1.8880e+03
310   1.6320e+03
320   1.4160e+03
330   1.2330e+03
340   1.0770e+03
350   9.4380e+02
360   8.2940e+02
370   7.3080e+02
380   6.4560e+02
390   5.7170e+02
400   2.8430e+01
410   4.5160e+02
420   2.4130e+01
430   2.2120e+01
440   2.0240e+01
450   1.8500e+01
460   1.6900e+01
470   1.5420e+01
480   1.4080e+01
490   1.2850e+01
500   1.1730e+01
510   1.0720e+01
520   9.7940e+00
530   8.9550e+00
540   8.1930e+00
550   7.5010e+00
560   6.8720e+00
570   6.3010e+00
580   5.7810e+00
590   5.3080e+00
600   4.8780e+00
610   4.4860e+00
620   4.1280e+00
630   3.8020e+00
640   3.5040e+00
650   3.2320e+00
660   2.9830e+00
670   2.7550e+00
680   2.5470e+00
690   2.3560e+00
700   2.1800e+00
710   2.0190e+00
720   1.8710e+00
730   1.7360e+00
740   1.6100e+00
750   1.4950e+00
760   1.3890e+00
770   1.2910e+00
780   1.2010e+00
790   1.1180e+00
800   1.0410e+00
810   9.6980e-01
820   9.0410e-01
830   8.4320e-01
840   7.8680e-01
850   7.3460e-01
860   6.8610e-01
870   6.4120e-01
880   5.9940e-01
890   5.6070e-01
900   5.2470e-01
910   4.9120e-01
920   4.6010e-01
930   4.3110e-01
940   4.0410e-01
950   3.7890e-01
960   3.5550e-01
970   3.3360e-01
980   3.1330e-01
990   2.9420e-01
1000  2.7640e-01
1010  2.5980e-01
1020  2.4430e-01
1030  2.2980e-01
1040  2.1620e-01
1050  2.0350e-01
1060  1.9160e-01
1070  1.8050e-01
1080  1.7000e-01
1090  1.6030e-01
1100  1.5110e-01
1110  1.4250e-01
1120  1.3440e-01
1130  1.2680e-01
1140  1.1970e-01
1150  1.1300e-01
1160  1.0670e-01
1170  1.0080e-01
1180  9.5250e-02
1190  9.0020e-02
1200  8.5100e-02
1210  8.0480e-02
1220  7.6120e-02
1230  7.2010e-02
1240  6.8150e-02
